,Issue_id,Duplicated_issue,Title,Description
24,25.0,28126.0,"['default', 'connection']","['helpful', 'notion', 'default', 'repository', 'connection', 'connect', 'project', 'wouldnt', 'everytime', 'create', 'create', 'default', 'minimum', 'have', 'default', 'repository', 'helpful']"
39,40.0,20.0,"['connect', 'stream', 'gcqpkw']","['connect', 'stream', 'directly', 'content', 'workspace', 'repository', 'wizard', 'currently', 'populate', 'workspace', 'stream', 'repository', 'repository', 'browser', 'expand', 'select', 'children', 'workspace', 'move', 'future', 'stream', 'container', 'project', 'operation', 'meaningful', 'repository', 'workspace', 'frequent', 'operation']"
47,48.0,22.0,"['future', 'project', 'reference']","['project', 'reference', 'flavour', 'project', 'project', 'version', 'project', 'stream', 'currently', 'ensure', 'future', 'require', 'change', 'vcmmeta', 'format', 'solve', 'example', 'have', 'distinct', 'project', 'reference', 'store', 'different', 'example', 'nameprojectname', 'versionname', 'move', 'reminder', 'project', 'reference']"
60,61.0,60.0,"['vcm_meta', 'show', 'change', 'gdqtgw']","['install', 'declipse', 'perspective', 'create', 'project', 'call', 'create', 'helloworld', 'example', 'method', 'print', 'console', 'project', 'create', 'connection', 'cvslnxtest', 'homecvs', 'connect', 'expand', 'stream', 'select', 'project', 'manage', 'release', 'catchuprelease', 'select', 'project', 'choose', 'release', 'connect', 'repository', 'repository', 'select', 'workspace', 'navigator', 'select', 'manage', 'release', 'observe', 'change', 'release', 'include', 'vcmmeta', 'severe', 'force', 'release', 'addition', 'typically', 'hide', 'navigator', 'package', 'outgo', 'change', 'change', 'kevinm', 'exist', 'resource', 'write', 'present', 'doesnt', 'cvsignore', 'get', 'classfiles', 'vcmmeta', 'compare']"
93,94.0,2.0,"['repositories', 'editor']","['browse', 'repositories', 'editor', 'associate', 'behave', 'navigator', 'associate', 'editor', 'associate', 'default', 'viewer', 'repeat', 'manage', 'connect', 'repository', 'location', 'browse', 'external', 'viewer', 'notice', 'editor', 'repositories', 'behave', 'open', 'navigator', 'launch', 'viewer', 'general', 'specialize', 'editor', 'remote', 'resource', 'dependent', 'resources', 'expect', 'example', 'reference', 'graphic', 'editor', 'graphic', 'display', 'editor', 'write', 'accomodate', 'remote', 'miss', 'resources', 'discuss', 'vanilla', 'editors', 'itpjuiall', 'open', 'repository', 'resources', 'doesnt']"
97,98.0,26.0,[],"['button', 'connection', 'dialog', 'release', 'project', 'require', 'wizard', 'choose', 'display']"
121,122.0,170.0,"['communication', 'genytq']","['have', 'synchronize', 'release', 'successfully', 'teamstream', 'attempt', 'version', 'project', 'dialog', 'say', 'communication', 'follow', 'communication', 'network', 'connection', 'connect', 'versioning', 'attempt', 'work']"
145,146.0,170.0,"['repositories', 'gewrwg']","['catch', 'invalid', 'repositories', 'newcvs', 'repository', 'location', 'garbage', 'complete', 'wizard', 'expand', 'project', 'version', 'throw', 'locate', 'recommend', 'recommend', 'catch', 'coreexceptions', 'place', 'verify', 'connections', 'common', 'notice', 'log', 'message', 'errors']"
159,160.0,22828.0,"['option', 'server']","['connect', 'expand', 'repository', 'report', 'problems', 'server', 'update', 'server', 'directory', 'cvsroot', 'ignore', 'server', 'directory', 'comment', 'ignore', 'server', 'directory', 'simplestory', 'ignore', 'newslashd', 'slashbak', 'slashstats', 'appear', 'actually', 'cvsroot', 'locally', 'comment', 'simplestory', 'newslashd', 'slashbak', 'slashstats', 'jeanmichel', 'server', 'run', 'customize', 'notice', 'output', 'server', 'instead', 'server', 'adapter', 'modify', 'server', 'message']"
170,171.0,4904.0,"['miss', 'repository', 'resources']","['project', 'workspace', 'stream', 'repository', 'unplug', 'network', 'connection', 'select', 'project', 'rightclick', 'replace', 'stream', 'content', 'course', 'dialog', 'resources', 'replace', 'repository', 'invoke', 'replace', 'stream', 'content', 'concede', 'want', 'replace', 'workspace', 'content', 'anyways', 'position', 'resume', 'work', 'slightly', 'resources', 'originally', 'workspace', 'purge', 'delete', 'replace', 'overly', 'aggressive']"
174,175.0,17366.0,"['compare', 'compare', 'editor']","['comparereplace', 'version', 'theyre', 'open', 'compare', 'editor', 'perform', 'unnecessary', 'compare', 'stream', 'content', 'open', 'compare', 'dialog', 'identical', 'content', 'version', 'inform', 'doesnt', 'editor', 'release']"
177,178.0,22806.0,"['maintain', 'expansion', 'switch']","['things', 'filter', 'expansion', 'remember', 'reveal', 'correct', 'expansion', 'example', 'outgo', 'change', 'switch', 'catchup', 'completly', 'collapse']"
182,183.0,1.0,"['readme', 'refresh', 'external', 'editors', 'gfbqni']","['people', 'refresh', 'external', 'editors', 'outgo', 'change']"
