Issue_id,Priority,Component,Duplicated_issue,Title,Description,Status,Resolution,Version,Created_time,Resolved_time
1,P3,Team,,Usability issue with external editors (1GE6IRL),"- Setup a project that contains a *.gif resource; 	- release project to CVS; 	- edit the *.gif resource with an external editor; e.g. PaintShop; 	- save and close external editor; 	- in Navigator open the icon resource and verify that your changes are there; 	- release project; 		-> nothing to release!; 	- in Navigator open the icon resource and verify that your changes are still there; ; 	Problem: because I never Refreshed from local; the workspace hasnt changed so Release didnt find anything.; 	However opening the resource with an external editor found the modified file on disk and showed the changes.; ; 	The real problem occurs if Release actually finds something to release but you dont spot that some resources are missing.; 	This is extremely error prone: one of my changes didnt made it into build 110 because of this!; ; NOTES:; EG (5/23/01 3:00:33 PM); 	Release should do a refresh from local before doing the release.; 	Moving to VCM; ; ; KM (05/27/01 5:10:19 PM); 	Comments from JM in related email:; ; 	Should not do this for free.  Could have a setting which made it optoinal but should nt be mandatory.  Default setting could be to have it on.; 	Consider the SWT team who keep their workspaces on network drives.  This will be slow.  ; ; 	Side effects will be that a build runs when the refresh is completed unless you somehow do it in a workspace runnable and dont end the; 	runnable until after the release.  This would be less than optimal as some builders may be responsible for maintaining some invariants and deriving resources which are releasable.  If you dont run the builders before releasing; the invariants will not be maintained and you will release inconsistent state.; ; 	Summary:  Offer to ensure local consistency before releasing.; ; KM (5/31/01 1:30:35 PM); 	See also 1GEAG1A: ITPVCM:WINNT - Internal error comparing with a document; 	which failed with an error.  Never got log from Tod though.",CLOSED,FIXED,2,10/10/2001 21:34,2/9/2012 15:57
2,P5,Team,,Opening repository resources doesnt honor type (1GE6I1Q),"Opening repository resource always open the default text editor and doesnt; 	honor any mapping between resource types and editors.; 	As a result it is not possible to view the contents of an image (*.gif file) in a sensible way.; ; NOTES:; EG (5/24/2001 5:13:45 AM); 	Agreed that this is needed eventually but not critical for June. 	; 	There should also be a Java outliner when editing a java resource from the repository.; 	Moving to VCM.; ; KM (5/24/01 2:09:21 PM); 	In general you cannot open a specialized editor on a remote resource because they can sometimes; 	be dependent on other resources and expect these to be local.  For example; an HTML page which; 	references a graphic; the HTML editor is going to try to look for the graphic to display it.; ; 	You cant be sure that the editor was written to accomodate remote or missing resources.; 	We discussed this some time ago with Dave T. and felt it was safer to just use vanilla editors for now.; ; KM (5/24/01 4:42:09 PM); 	See also 1GE8YMJ: ITPVCM:ALL - Repositories View: all file types open to the text editor",RESOLVED,FIXED,2,10/10/2001 21:34,5/7/2002 10:33
3,P5,Team,,Sync does not indicate deletion (1GIEN83),"KM (10/2/2001 5:55:18 PM); 	This PR about the deletion indicator in the sync viewer being too subtle.; 	This would be even more true for someone with vision problems.; 	NE has good suggestion of using the label of the compare text viewer.; 	We may also consider a better icon.; 	On to the PR....; ; - delete file from project; - synchronize; - there is no indication that the file has been deleted from the workspace; - it looks the same as if the file is in the workspace but is empty; ; NOTES:; ; KM (8/15/2001 3:37:53 PM); 	It should appear as a rightfacing - arrow in the sync view.; 	Sent screen cap to NE requesting clarification.; ; NE (8/20/01 9:13:38 AM); 	The - in the arrow is clearer when there are other arrows present too (the + and change ones).; 	Otherwise; its easy to miss the distinction; especially when the users attention is focussed; 	on the text compare panes.; 	Id expect the Workspace file: label to indicate that it has been deleted.; 	The Repository file: label does this (if I remember correctly) when it has been deleted from the repository.",RESOLVED,FIXED,2,10/10/2001 21:34,5/7/2010 10:28
4,P5,Team,,need better error message if catching up over read-only resource (1GF69TF),"- become synchronized with some project in a repository; - use a different Eclipse to make a change to a file resource within this project and release it to the repository; - in the original Eclipse mark this file resource as being read-only (select it; right-click -> Properties; change; OK); - select the file resource; right-click -> Team -> Synchronize with Stream; - in the subsequent comparison view select the file resource; right-click -> Catchup; - since it has been marked as read-only there are inevitable problems.  However the error dialog that is shown; 	does not offer much assistance (An IO error occurred: IO Error); ; ; NOTES:",RESOLVED,FIXED,2,10/10/2001 21:34,3/1/2002 16:27
5,P3,Team,,ISharingManager sharing API inconsistent (1GAUL8H),For getting/setting the managed state of a resource; the methods are:; ; isManaged(resource) and; manage(resource); ; for getting/setting the ignore state; the methods are:; ; getIgnored(resource); setIgnored(resource); ; These should be made more consistent.  I suggest renaming ignore methods:; ; isIgnored(resource) and; ignore(resource).; ; I think its good practice to not use get and set in method names unless its really; just a field accessor.; ; NOTES:,RESOLVED,WONTFIX,2,10/10/2001 21:34,8/15/2008 8:04
6,P5,Team,,API - IResource.setLocal has problems (1G5TC8L),"IResource.setLocal has problems. This method (which replaces ensureLocal; and scrubLocal) requires some form of connection to the VCM provider;; since the VCM provider is the only thing that could make a resource local.; ; Indeed; the whole notion of local resources requires VCM support and needs; to be reviewed.; ; NOTES:; ; JM (12/11/2000 10:24:05 PM); 	The only scenario in which non-local resources makes sense is one ; involving a VCM.; 	setLocal does not replace ensureLocal.  It is there to support the VCM ; fetching content ; 	and then telling the workspace that it should expect to see the content ; in the file system.; 	Similarly; with scrubLocal.  It is expected that the VCM itself is the ; one that does the ; 	dirty work of adding/deleting the content in the file system.  ; ; jeem (12/13/00 7:01:26 PM) - Where are ensureLocal and scrubLocal? They dont ; appear; in the API any more (they were there in tech preview).; ; JM (01/02/2001 11:32:24 AM); 	These notions should be related to the VCM.; 	Moving to BB for consideration.; ; KM (4/6/01 3:49:13 PM); 	Only sender that calls it with false is ScrubLocalAction; which looks ; like it can be deleted.; 	We are not making use of this core feature since neither CVS nor CC ; benefits from it.; 	I am concerned then it may not even work given there are no senders ; of false.; 	Nothing to be done about this right now; moving to future.; ; JM (06/04/2001 6:58:28 PM); 	There likely are test suites which test the (false) case.; 	This is both legacy and future expansion.  The VCM model does not ; require one to ; 	have all resources local.  CVS and CC appear to have a model where ; everything is local.  ; 	Things like VSS do not use this model.  I believe that PVCS and ; Perforce do not require you; 	to have everything local but that is fuzzy for me.  DAV does not ; specify either way as; 	it is a protocol.  It is easy to see both modes of operation (i.e.; ; both I GET the whole project and ; 	I GET only what I need).  ; 	Regardless; the setLocal functionality relates to modeling resource ; existance ; 	without actualy being forced to fetch the resource.; ; 	So; this is core API which is related to part of the VCM model which is ; not yet fully implemented.; 	If you have a particular concern about the API being there; we can ; remove the it until VCM ; 	implementations for VSS; DAV; ... are being done and determine that ; they need the behaviour.",RESOLVED,INVALID,2,10/10/2001 21:34,2/7/2002 16:29
7,P5,Team,,[Team API] move/copy semantics not preserved for VCM/targets (1G5RAC5),"The platform is able to notify people that a resource was moved using resource; change events (deltas).  It does not track copies.; In neither case is it easy for a VCM or target to retain the semantics of a move; or copy since by the time it is run; all it has it the current state (i.e.; it can tell ; that a file was deleted and another added but not that this was a move).; This is unfortunate since the VCM/target sync code may well be able to do; optimizations if this information was available.; ; NOTES:; ; JM (12/10/2000 2:49:42 PM); 	This is related to ; 		1G5RAC5: ITPCORE:WINNT - move/copy semantics not preserved for VCM/targets; 	It is only relevant to address non-local move/copy if the above PR is addressed.  ; 	otherwise; there is nothing to do at release time since there is no local copy and all; 	we can do is put/delete.; ; JM (4/15/2001 9:54:43 PM); 	There is nothing we can do about this now.  Moving to VCM for logging as a future; 	issue.",RESOLVED,WONTFIX,2,10/10/2001 21:34,5/6/2005 17:18
8,P3,Team,,how can we support ,"With the current VCM API; a repository adapter can either be pessimistic or ; optimistic.; 	If it is pessimistic; all check-outs are reserved; i.e. no other user ; is allowed to check; 	out the same resource. If it is optimistic; no check-out is reserved.; 	In other VCM systems (e.g. CC and CVS); you can decide on a resource-by-; resource basis; 	if a check-out should be reserved or not.; 	Usually; a check-out is not reserved if a merge is not difficult; ; e.g. if there are merge tools.; 	If there are no merge tools; and a merge by hand is not trivial; the ; check-out should be a; 	reserved check-out.; ; NOTES:; ; BB (3/1/2001 9:36:23 AM); 	Proposed change to the VCM API: checkout() takes an additional boolean ; parameter; 	reserved and the corresponding activity event is changed accordingly. ; Does not seem relevant for; 	CVS. Moving to Active_MarkH for comment.; ; SK (4/11/2001 6:10:17 PM); 	This will be solved via use of ICCActivity to do checkout and unlock.; ; SK (4/25/2001 3:49:50 PM); 	Moving back to active; as this work is only a release candidate.; ; KM (4/25/01 4:42:08 PM); 	From note from Mark H:; 		I am not exposed to the whole development; 		community; so I am not aware of what people are complaining ; about/asking; 		for.  It is needed if we want to support serial development.; ; 		Estimated development time is 1 week by Steve; so I would think ; that puts; 		it in the future bucket by necessity.; ; Jean-Michel (11/06/2001 9:37:22 AM); 	Our current internal VCM API does not support a pessimistic model.",RESOLVED,WONTFIX,2,10/10/2001 21:34,5/17/2011 11:40
9,P3,Team,,VCM Implementation - disallow root resource to be passed (1G8436G),"The implementation has to be changed because a root resource might be passed; 	where an IResource is expected. See also 1G8435U; ; NOTES:; ; KM (4/26/01 3:54:24 PM); 	This PR is very old.  It should either be fixed; moved to future; or obsolete.",RESOLVED,WONTFIX,2,10/10/2001 21:34,10/23/2001 23:39
10,P3,Team,,API - VCM event notification (1G8G6RR),"There seems to be a need for a VCM Event notification model; along the lines; of the activity notification and resource change notification.  This would only; notify listeners when local VCM API had been manipulated; it wouldnt notify; changes that have occurred on the server.  For example; notification of the; following events (and possibly others) would greatly improve my ability to; maintain a well refreshed UI:; ; - repository creation/deletion; - team stream creation/deletion; - team stream lock/unlock; - setSharing of project to team stream; - project version creation/deletion; - catchup/release to/from team stream; ; Without such a notification method; were left with a LotusNotesian Press F9; to refresh UI model. For example; the user has a view open that shows a list; of the currently known team streams.  The user then creates a new team stream.; S/he will then have to press F9 on the team stream view to make it include the; TS theyve just created.  We cannot link the team stream creation wizard and the; team stream view at the UI level; because they might well have been created by; different plugins that dont know about each other.; ; Also; repository deletion is not currently supported.  By deletion I mean removal; of the repository from the list of the workspaces known repositories.  Once the; known repositories list is persistent; there will be a need to remove items from; the list to prevent it from growing indefinitely.; ; NOTES:; ; BB (2/1/01 11:57:12 AM); 	For a first cut; see; 		>IVCMEvent 0.4 000; 		>IVCMListener 0.4 000; 		>IVCMProvider 0.3 010; ; JA 2/1/01; Some possible additional event types:; ; - change in resource transience.;  -create/delete project version; ; As a side note; you might consider using IVCMListener.handleEvent; instead of IVCMListener.vcmEvent.  It is more in line with other event/listener; pairs in Eclipse.; ; BB (2/2/01 2:51:14 PM); 	We should change IActivityListener.activityEvent too. (-> IActivityListener.handleEvent); ; KM (4/6/01 12:13:55 PM); 	Prioritization:; 	Important:; 	- update labels (navigator) and property sheets when loading/versioning (explicit refresh); 	- update sync info on resource change (vcm provider becomes a delta listener); 	- update prop sheet when change in sharing; ; 	Nice to have but can be dropped:; 	- show creation of new repo connections; streams; 	- update repo stream children when releasing; 	- update version list when versioning; ; BB (5/11/2001 12:29:33 PM); 	Implemented events for creation/deletion of repositories/team streams.; ; JohnA (5/11/2001 6:24:49 PM); 	Implemented event listening for creation/deletion of repositories/team streams.",VERIFIED,FIXED,2,10/10/2001 21:34,10/10/2008 18:47
11,P3,Team,,API: ISharingManager::load mapping vcm projects to workspace projects (1G8U50U),"Jean-Michel (08/02/2001 1:38:48 PM); ; The ISharingManager::load operation does not support the following scenario:; ; - Create project in workbench called TomCat3.3 and share a teamstream with a ; vcm project called TomCat with version 3.3.; - Create another project in workbench called TomCat4.0 and share ; with same tream stream and same project TomCat but with version 4.0 of the ; project.; ; This issue can be more generally seen as being about the semantics of projects; in the workbench versus those in vcm. Projects in the workbench should be ; allowed; open mapping to any vcm project; regardless of the name of the local workbench ; project; that is chosen. This is similar to ClearCases and CVSs notion of having any ; number; of local work areas for a project configuration. In ClearCase these are called ; views; and you ; can have as many as you like. Likewise; in CVS you can use the -d option with ; the ; update command to load a specific module version to a user named directory (the ; default; is to use the modules name).; ; The load API mentions that it is responsible for renames. If this is the case ; then if; projects are to be threated differently; an alternative method should be ; available for; renaming projects on the server. Local projects; or workbench projects; could be; renamed without affecting the repository project to which it is mapped. ; ; ; NOTES:; ; JM (08/02/2001 7:56:47 PM); 	Yes.  Currently there is an (at least underlying) assumption that the ; name of a ; 	project in the workspace is the same as its name in the versioning ; system.  This; 	should be relaxed.; 	Moving to BB for consideration.",RESOLVED,WONTFIX,2,10/10/2001 21:34,10/23/2001 23:39
12,P3,Team,,Manage/unmanage support and policies (1GALAEG),"Currently every new resource added to a shared (version controlled) project is ; managed. In; the real world this wont work since most derived artifacts from an active ; developed project; will never be managed (e.g. class files; object files; user configuration ; files...).; ; The VCM API has ISharingManager::manage() and isManaged() operations. The UI ; should; provide support for managing resources. By default resources would be ; unmanaged; even; if parent is managed and project is shared. A policy could be added to allow ; new resources; created with the UI (e.g. and not generated by the build process) to be managed ; automatically.; ; NOTES:; ; KM (4/12/01 6:37:32 PM); 	From discussion with Jean-Michel; still feels like we need to close on ; whether they are hints or more.",RESOLVED,WONTFIX,2,10/10/2001 21:34,10/23/2001 23:39
