,Issue_id,Duplicated_issue,Title,Description
0,1.0,,"['usability', 'external', 'editors']","['project', 'contain', 'resource', 'release', 'project', 'resource', 'external', 'editor', 'paintshop', 'external', 'editor', 'navigator', 'resource', 'verify', 'change', 'release', 'project', 'release', 'navigator', 'resource', 'verify', 'change', 'problem', 'refresh', 'workspace', 'change', 'release', 'open', 'resource', 'external', 'editor', 'modify', 'show', 'change', 'problem', 'occur', 'release', 'actually', 'release', 'resources', 'miss', 'extremely', 'change', 'release', 'refresh', 'release', 'move', 'comment', 'relate', 'set', 'optoinal', 'mandatory', 'default', 'set', 'consider', 'workspaces', 'network', 'drive', 'effect', 'refresh', 'complete', 'workspace', 'runnable', 'runnable', 'release', 'optimal', 'builders', 'responsible', 'maintain', 'invariants', 'derive', 'resources', 'releasable', 'builders', 'release', 'invariants', 'maintain', 'release', 'inconsistent', 'summary', 'ensure', 'consistency', 'release', 'itpvcmwinnt', 'internal', 'compare', 'document', 'fail']"
1,2.0,,"['open', 'repository', 'resources', 'doesnt']","['open', 'repository', 'resource', 'default', 'editor', 'doesnt', 'map', 'resource', 'editors', 'result', 'possible', 'content', 'sensible', 'agree', 'need', 'eventually', 'critical', 'outliner', 'edit', 'resource', 'repository', 'move', 'general', 'specialize', 'editor', 'remote', 'resource', 'dependent', 'resources', 'expect', 'example', 'reference', 'graphic', 'editor', 'graphic', 'display', 'editor', 'write', 'accomodate', 'remote', 'miss', 'resources', 'discuss', 'vanilla', 'editors', 'itpvcmall', 'repositories', 'editor']"
2,3.0,,"['indicate', 'deletion']","['deletion', 'indicator', 'viewer', 'subtle', 'vision', 'problems', 'suggestion', 'compare', 'viewer', 'consider', 'better', 'delete', 'project', 'synchronize', 'indication', 'delete', 'workspace', 'workspace', 'appear', 'rightfacing', 'screen', 'request', 'clarification', 'clearer', 'arrows', 'present', 'distinction', 'especially', 'attention', 'focus', 'compare', 'expect', 'workspace', 'indicate', 'delete', 'repository', 'delete', 'repository']"
3,4.0,,"['better', 'message', 'catch', 'resource']","['synchronize', 'project', 'repository', 'different', 'eclipse', 'change', 'resource', 'project', 'release', 'repository', 'original', 'eclipse', 'resource', 'readonly', 'select', 'resource', 'rightclick', 'synchronize', 'stream', 'subsequent', 'comparison', 'select', 'resource', 'rightclick', 'catchup', 'mark', 'readonly', 'inevitable', 'problems', 'dialog', 'assistance']"
4,5.0,,"['isharingmanager', 'share', 'inconsistent']","['gettingsetting', 'manage', 'resource', 'methods', 'ismanaged', 'manage', 'gettingsetting', 'ignore', 'methods', 'getignored', 'setignored', 'consistent', 'suggest', 'rename', 'ignore', 'methods', 'isignored', 'ignore', 'practice', 'method', 'accessor']"
5,6.0,,"['iresource', 'setlocal', 'problems']","['problems', 'method', 'require', 'connection', 'provider', 'provider', 'resource', 'notion', 'resources', 'require', 'support', 'review', 'scenario', 'nonlocal', 'resources', 'involve', 'setlocal', 'replace', 'ensurelocal', 'support', 'fetch', 'content', 'tell', 'workspace', 'expect', 'content', 'similarly', 'scrublocal', 'expect', 'addingdeleting', 'content', 'ensurelocal', 'scrublocal', 'appear', 'notions', 'relate', 'move', 'consideration', 'sender', 'delete', 'make', 'feature', 'benefit', 'concern', 'senders', 'move', 'future', 'likely', 'suit', 'legacy', 'future', 'expansion', 'require', 'resources', 'appear', 'things', 'believe', 'perforce', 'require', 'specify', 'protocol', 'operation', 'regardless', 'setlocal', 'functionality', 'relate', 'model', 'resource', 'existance', 'actualy', 'force', 'resource', 'relate', 'implement', 'particular', 'concern', 'remove', 'implementations', 'determine', 'behaviour']"
6,7.0,,"['semantics', 'preserve', 'target']","['platform', 'notify', 'people', 'resource', 'resource', 'change', 'events', 'copy', 'target', 'retain', 'semantics', 'current', 'unfortunate', 'vcmtarget', 'optimizations', 'information', 'available', 'relate', 'itpcorewinnt', 'movecopy', 'semantics', 'preserve', 'vcmtargets', 'relevant', 'address', 'nonlocal', 'movecopy', 'address', 'release', 'putdelete', 'move', 'log', 'future']"
7,8.0,,['support'],"['current', 'repository', 'adapter', 'pessimistic', 'optimistic', 'pessimistic', 'checkouts', 'reserve', 'allow', 'resource', 'optimistic', 'checkout', 'reserve', 'systems', 'decide', 'resourceby', 'resource', 'checkout', 'reserve', 'usually', 'checkout', 'reserve', 'difficult', 'trivial', 'checkout', 'reserve', 'checkout', 'propose', 'change', 'checkout', 'additional', 'boolean', 'parameter', 'reserve', 'correspond', 'activity', 'change', 'accordingly', 'relevant', 'move', 'activemarkh', 'comment', 'solve', 'iccactivity', 'checkout', 'unlock', 'move', 'active', 'release', 'candidate', 'expose', 'development', 'community', 'people', 'complain', 'aboutasking', 'need', 'support', 'serial', 'development', 'estimate', 'development', 'future', 'bucket', 'necessity', 'jeanmichel', 'current', 'internal', 'support', 'pessimistic']"
8,9.0,,"['implementation', 'disallow', 'resource', 'pass']","['implementation', 'change', 'resource', 'pass', 'iresource', 'expect', 'future', 'obsolete']"
9,10.0,,['notification'],"['notification', 'activity', 'notification', 'resource', 'change', 'notification', 'notify', 'listeners', 'manipulate', 'wouldnt', 'notify', 'change', 'occur', 'server', 'example', 'notification', 'follow', 'events', 'greatly', 'improve', 'ability', 'maintain', 'refresh', 'repository', 'stream', 'stream', 'lockunlock', 'setsharing', 'project', 'stream', 'project', 'version', 'catchuprelease', 'tofrom', 'stream', 'notification', 'method', 'lotusnotesian', 'refresh', 'example', 'currently', 'stream', 'create', 'stream', 'stream', 'include', 'theyve', 'create', 'stream', 'creation', 'wizard', 'stream', 'create', 'different', 'plugins', 'repository', 'deletion', 'currently', 'support', 'deletion', 'removal', 'repository', 'workspaces', 'repositories', 'repositories', 'persistent', 'remove', 'prevent', 'grow', 'indefinitely', 'ivcmevent', 'ivcmlistener', 'ivcmprovider', 'possible', 'additional', 'change', 'resource', 'transience', 'createdelete', 'project', 'version', 'consider', 'instead', 'eventlistener', 'eclipse', 'change', 'prioritization', 'important', 'update', 'label', 'property', 'sheet', 'update', 'resource', 'change', 'update', 'change', 'share', 'drop', 'creation', 'connections', 'stream', 'update', 'stream', 'children', 'release', 'update', 'version', 'versioning', 'implement', 'events', 'stream', 'implement', 'listen', 'stream']"
10,11.0,,"['isharingmanager', 'map', 'project', 'workspace', 'project']","['jeanmichel', 'operation', 'support', 'follow', 'scenario', 'create', 'project', 'workbench', 'call', 'teamstream', 'project', 'call', 'tomcat', 'version', 'create', 'project', 'workbench', 'call', 'stream', 'project', 'tomcat', 'version', 'project', 'generally', 'semantics', 'project', 'workbench', 'versus', 'project', 'workbench', 'allow', 'map', 'project', 'regardless', 'workbench', 'project', 'choose', 'similar', 'clearcases', 'notion', 'have', 'number', 'project', 'configuration', 'clearcase', 'call', 'likewise', 'option', 'update', 'command', 'specific', 'module', 'version', 'directory', 'mention', 'responsible', 'rename', 'project', 'threated', 'differently', 'alternative', 'method', 'available', 'rename', 'project', 'server', 'project', 'workbench', 'project', 'rename', 'affect', 'repository', 'project', 'map', 'currently', 'assumption', 'project', 'workspace', 'versioning', 'relax', 'move', 'consideration']"
11,12.0,,"['manage', 'unmanage', 'support', 'policies', 'galaeg']","['currently', 'resource', 'share', 'project', 'manage', 'derive', 'artifacts', 'active', 'develop', 'project', 'manage', 'ismanaged', 'operations', 'provide', 'support', 'manage', 'resources', 'default', 'resources', 'unmanaged', 'parent', 'manage', 'project', 'share', 'policy', 'resources', 'create', 'manage', 'automatically', 'discussion', 'jeanmichel']"
