,Issue_id,Duplicated_issue,Title,Description
0,3.0,,"['indicate', 'deletion']","['deletion', 'indicator', 'viewer', 'subtle', 'vision', 'problems', 'suggestion', 'compare', 'viewer', 'consider', 'better', 'delete', 'project', 'synchronize', 'indication', 'delete', 'workspace', 'workspace', 'appear', 'rightfacing', 'screen', 'request', 'clarification', 'clearer', 'arrows', 'present', 'distinction', 'especially', 'attention', 'compare', 'expect', 'workspace', 'indicate', 'delete', 'repository', 'delete', 'repository']"
1,4.0,,"['better', 'message', 'catch', 'resource']","['synchronize', 'project', 'repository', 'different', 'eclipse', 'change', 'resource', 'project', 'release', 'repository', 'original', 'eclipse', 'resource', 'readonly', 'select', 'resource', 'rightclick', 'synchronize', 'stream', 'subsequent', 'comparison', 'select', 'resource', 'rightclick', 'catchup', 'readonly', 'inevitable', 'problems', 'dialog', 'assistance']"
2,11.0,,"['isharingmanager', 'map', 'project', 'workspace', 'project']","['jeanmichel', 'operation', 'support', 'follow', 'scenario', 'create', 'project', 'workbench', 'teamstream', 'project', 'tomcat', 'version', 'create', 'project', 'workbench', 'stream', 'project', 'tomcat', 'version', 'project', 'generally', 'semantics', 'project', 'workbench', 'versus', 'project', 'workbench', 'project', 'regardless', 'workbench', 'project', 'choose', 'similar', 'clearcases', 'notion', 'number', 'project', 'configuration', 'clearcase', 'likewise', 'option', 'update', 'command', 'specific', 'module', 'version', 'directory', 'mention', 'responsible', 'rename', 'project', 'threated', 'differently', 'alternative', 'method', 'available', 'rename', 'project', 'server', 'project', 'workbench', 'project', 'rename', 'affect', 'repository', 'project', 'currently', 'assumption', 'project', 'workspace', 'versioning', 'consideration']"
3,22.0,,"['persist', 'share', 'recommendations', 'project', 'version', 'reference']","['project', 'descriptions', 'recommendations', 'project', 'version', 'reference', 'jeanmichel', 'unqualified', 'project', 'reference']"
4,26.0,,"['create', 'connection', 'selection', 'dialog']","['awkward', 'create', 'repository', 'connection', 'associate', 'project', 'particular', 'firsttime', 'scenario', 'operations', 'present', 'prompter', 'indication']"
5,39.0,,"['preference', 'gcpkvs']","['previously', 'preference', 'default', 'repository', 'example', 'create', 'repository', 'connections', 'default', 'pulldown', 'remember', 'nicety', 'permit', 'longer', 'relevant', 'happen']"
6,43.0,,"['rename', 'project', 'release', 'gdhahf']","['project', 'release', 'teamstream', 'rename', 'project', 'attempt', 'release', 'teamstream', 'compare', 'project', 'rename', 'artifacts', 'rename', 'delete', 'project', 'release', 'project', 'release', 'conflict', 'elements', 'compare', 'rename', 'jeanmichel', 'timepermitting']"
7,55.0,,"['stream', 'wizard', 'provide', 'additional', 'information', 'stream', 'gdqnga']","['wizard', 'descriptive', 'explain', 'stream', 'create', 'important', 'people']"
8,59.0,,"['connection', 'gdqqki']","['create', 'repository', 'connection', 'wizard', 'repository', 'wizard', 'finish', 'discover', 'functionality', 'explorer', 'sibling', 'navigator', 'future']"
9,63.0,,"['location', 'project', 'workspace']","['scenarios', 'project', 'particular', 'plugins', 'typical', 'approach', 'workspace', 'plugins', 'target', 'install', 'develop', 'fragment', 'configuration', 'component', 'different', 'location', 'mandate', 'runtime', 'critical', 'selfhosting', 'location', 'delete', 'creation', 'implementation', 'jeanmichel', 'support', 'exactly', 'project', 'dialog', 'passin', 'qualify', 'location', 'project', 'description', 'create']"
10,64.0,,"['support', 'multiline', 'comment', 'gdrpqx']","['comment', 'verbose', 'actually', 'history', 'follow', 'problems', 'comment', 'comment', 'truncate', 'cariage', 'return', 'format', 'possibly', 'format', 'comment', 'context', 'option', 'browse', 'comment', 'consider', 'comment', 'jeanmichel', 'itpvcmall', 'validation', 'release', 'comment', 'truncate', 'expand', 'column', 'comment', 'kevinm', 'multiline', 'prompt', 'single', 'people', 'multiline', 'jeanmichel', 'project', 'comment', 'multiline', 'basically', 'comment', 'eclipse']"
11,65.0,,"['wizard', 'doesnt']","['repository', 'connections', 'select', 'project', 'managemerge', 'select', 'project', 'repository', 'select', 'project', 'repository', 'notice', 'content', 'change']"
12,69.0,,"['feature', 'request', 'folders', 'project']","['provide', 'option', 'organize', 'project', 'repository', 'hierachical', 'folder', 'structure', 'presently', 'project', 'repository', 'present', 'directory', 'reason', 'project', 'folders', 'create', 'repository', 'useful', 'macroscale', 'consist', 'number', 'relate', 'project', 'different', 'options', 'organize', 'mixedmode', 'development', 'relate', 'current', 'feature', 'create', 'little', 'folder', 'development', 'repository', 'private', 'sandbox', 'project', 'current', 'solution', 'project']"
13,70.0,,"['ensure', 'removal', 'connection']","['remove', 'connection', 'explorer', 'project', 'connection', 'search', 'project', 'accept', 'proceed', 'project', 'connections', 'olivier', 'removal', 'detect', 'project', 'gracefully', 'message', 'proceed']"
14,73.0,,"['dialog', 'workspace', 'annoy', 'gdxaqu']","['multiselect', 'project', 'workspace', 'location', 'project', 'expect', 'dialog', 'beggining', 'project', 'default', 'location', 'version', 'create', 'project', 'default', 'location', 'location', 'project', 'server', 'imagine', 'conection', 'feature', 'plugin', 'persist', 'location', 'information', 'example', 'delete', 'project', 'location', 'default', 'option', 'change', 'remember', 'locations', 'prompt', 'single', 'location', 'project', 'multiple', 'locations', 'project', 'individually', 'itpvcm', 'dialog', 'specify', 'location', 'project', 'truncate', 'olivier', 'spiffy', 'upgrade', 'prompt', 'dialog', 'checbox', 'prompter', 'toggle', 'preferance', 'presentation', 'trouble', 'locate', 'project', 'choice', 'available', 'usually', 'preference', 'default', 'prompt', 'location', 'prompt', 'project', 'especially', 'optional', 'rodrigo', 'prompt', 'prompt', 'important', 'lowpriority']"
15,80.0,,['delete'],"['delete', 'repository', 'connection', 'select', 'remove', 'connection', 'stream', 'select', 'remove', 'stream']"
16,88.0,,"['modify', 'release']","['select', 'releasecatchup', 'modify', 'prompt', 'suggest', 'refresh', 'future', 'equivalent', 'prompt', 'rundebug']"
17,96.0,,"['getadaptor', 'vcmexception', 'gegtwv']","['vcmexception', 'return', 'getrepository', 'legitimately', 'return', 'exception', 'helpful', 'common', 'itpvcmwinnt', 'refresh', 'syncview', 'delete', 'project']"
18,97.0,,"['location', 'project']","['option', 'prompt', 'project', 'location', 'default', 'prompt', 'evident', 'option']"
19,104.0,,"['prompt', 'password', 'create', 'repository', 'location', 'doesnt']","['create', 'repository', 'location', 'wizard', 'finish', 'access', 'stream', 'prompt', 'password', 'password', 'require', 'connection', 'constructor', 'client', 'corecvs', 'authentication', 'perform', 'create', 'connection', 'create', 'connection', 'password', 'location']"
20,111.0,,"['remove', 'project', 'directories', 'cvsadapter', 'gemcnx']","['hackfinder', 'cleanup', 'project', 'directories', 'properly']"
21,115.0,,"['default', 'value', 'field', 'location', 'dialog']","['create', 'repository', 'location', 'wizard', 'create', 'location', 'location', 'different', 'default']"
22,129.0,,"['discard', 'repository', 'share', 'location']","['discard', 'repository', 'location', 'project', 'workbench', 'dialog', 'project', 'location', 'message', 'discard', 'location', 'discard', 'location', 'project', 'workspace', 'location', 'project', 'currently', 'location', 'jeanmichel', 'review', 'jeanmichel', 'approve', 'release', 'behaviour', 'workspace', 'project', 'repository', 'second', 'repository', 'select', 'repositories', 'discard', 'message', 'scratchrepo', 'vcmrepo', 'discard']"
23,130.0,,"['progress', 'operation', 'version', 'workspace', 'gesyup']","['select', 'multiple', 'project', 'navigator', 'version', 'workspace', 'conflict', 'resources', 'increment', 'operation', 'finish', 'preocessed', 'project', 'future', 'increment', 'problem']"
24,131.0,,"['delete', 'resource', 'workspace']","['create', 'resource', 'resource', 'folder', 'release', 'change', 'repository', 'delete', 'resource', 'workspace', 'release', 'change', 'repository', 'folder', 'folder', 'remove', 'expand', 'project', 'versions', 'resource', 'select', 'workspace', 'dialog', 'errors', 'project', 'resource', 'internal', 'consult', 'orgeclipsevcmui', 'errors', 'project', 'children', 'delete', 'launcherzip', 'children', 'delete', 'launcherzip', 'project', 'version', 'history', 'orgeclipsevcmui', 'errors', 'project', 'children', 'resource', 'orgeclipsevcmui', 'internal', 'consult', 'children', 'manually', 'parent', 'folder', 'workspace', 'assume', 'effect', 'parent', 'workspace', 'reproduce', 'problem', 'delete', 'package', 'project', 'repository', 'select', 'delete', 'package', 'workspace']"
25,135.0,,"['version', 'dialog']","['select', 'version', 'project', 'workspace', 'project', 'versioned', 'dialog', 'appear', 'option', 'appear', 'dialog', 'project', 'history', 'receive', 'particularly', 'painful']"
26,144.0,,"['repository', 'location', 'dialog']","['repository', 'location', 'dialog', 'select', 'numlock', 'difference']"
27,145.0,,"['exception', 'add', 'workspace', 'gevtjy']","['connect', 'cvslnxtest', 'expand', 'expand', 'davehelloworld', 'project', 'select', 'readmetxt', 'choose', 'workspace', 'davehelloworld', 'workspace', 'orgeclipsevcmui', 'errors', 'project', 'children', 'orgeclipsevcmui', 'internal', 'consult', 'children', 'orgeclipsevcmui', 'internal', 'consult', 'autocreate', 'problem', 'flavor', 'project', 'doesnt', 'exception', 'unclear', 'problem', 'specific', 'project', 'failure', 'better', 'autoload', 'project', 'nicely', 'unreasonable', 'project', 'project', 'project', 'prompt', 'location', 'contact', 'change', 'helpful', 'message', 'project', 'vcmmeta', 'classpath', 'container', 'children', 'jeanmichel', 'reproduce', 'instead', 'itpvcm', 'synching', 'reinvestigate', 'available', 'disable', 'parent', 'resource', 'presumably', 'element', 'selection', 'jeanmichel', 'resource', 'parent', 'message', 'exception', 'assume']"
28,152.0,,"['resource', 'history', 'ignore']","['workspace', 'overwrite', 'readonly', 'versioned', 'project', 'resource', 'history', 'resouce', 'history', 'workspace', 'dialog', 'overwrite', 'project', 'notice', 'doesnt', 'confirm', 'overwrite', 'change', 'project']"
29,153.0,,"['message', 'versioning']","['create', 'project', 'properties', 'dialog', 'select', 'choose', 'repository', 'version', 'workspace', 'prompt', 'version', 'message', 'dialog', 'versioning', 'problems', 'message', 'identical']"
30,156.0,,"['failure', 'improvement']","['delete', 'resources', 'delete', 'resources', 'successfully', 'resources']"
31,161.0,,"['ignore', 'directory', 'show', 'incoming', 'change']","['repository', 'connection', 'anonymous', 'anoncvsgnomeorg', 'cvsgnome', 'expand', 'gnomepilot', 'workspace', 'rightclick', 'project', 'synchronize', 'directory', 'macros', 'content', 'incoming', 'change', 'workspace', 'macros', 'cvsignore', 'rightclick', 'catchup', 'macros', 'directory', 'happen', 'disappear', 'subsequent', 'catchups', 'macros', 'incoming', 'change', 'jeanmichel', 'bizzare', 'ignore', 'browse', 'macros', 'folder', 'appear', 'tranfer', 'directory', 'incoming', 'deletions']"
32,164.0,,"['message', 'overwrite', 'project', 'different']","['create', 'project', 'project', 'change', 'select', 'project', 'workspace', 'message', 'overwrite', 'project', 'resource', 'finally', 'actually', 'project', 'refresh', 'windows', 'distinguish']"
33,168.0,,"['change', 'share', 'outgo', 'release', 'change']","['chaging', 'project', 'essentialy', 'project', 'unreleased', 'change', 'readme']"
34,177.0,,"['delete', 'directory', 'appear', 'release', 'gfbdxr']","['release', 'project', 'initially', 'provide', 'cvsignore', 'directory', 'create', 'cvsignore', 'content', 'prevent', 'remove', 'cvsignore', 'delete', 'matter', 'delete', 'remove', 'cvsignore', 'change', 'output', 'delete', 'resource', 'versioned', 'project', 'restart', 'eclipse', 'appear', 'comparision', 'project', 'clients', 'delete', 'folders', 'server', 'server', 'administrator', 'delete', 'readme']"
35,179.0,,"['cancel', 'addition', 'workspace']","['message', 'repeatable', 'reproduce', 'workspace', 'vcmrepo', 'cancel', 'operation', 'eventually', 'message', 'communication', 'orgeclipsevcmui', 'errors', 'project', 'children', 'communication', 'children', 'communication', 'itpvcm', 'cancel', 'workspace', 'finish']"
36,182.0,,"['change', 'project']","['dialog', 'select', 'project', 'change', 'implementation', 'projecta', 'projectb', 'duplicate', 'create', 'project', 'workspace', 'stream', 'projecta', 'change', 'projectb', 'dialogs', 'appear', 'catchup', 'actually', 'modify', 'content', 'projectb', 'workspace', 'jeanmichel', 'documentation', 'candidate', 'remove', 'project', 'selection', 'wizard']"
37,184.0,,"['workspace', 'present', 'project', 'stream', 'check', 'gfivzk']","['project', 'workspace', 'stream', 'different', 'effective', 'presence', 'version', 'project', 'stream', 'example', 'create', 'stream', 'workspace', 'project', 'version', 'stream', 'present', 'workspace', 'prompt', 'overwrite', 'project', 'project', 'delete', 'message', 'theres', 'version', 'better', 'detect', 'theres', 'version', 'prompt', 'overwrite']"
38,192.0,,['ignore'],"['repeat', 'create', 'cvsignore', 'content', 'create', 'navigator', 'resaved', 'disappear']"
39,194.0,,"['message', 'versioning', 'ignore', 'project']","['global', 'ignore', 'pattern', 'bazproject', 'create', 'simple', 'project', 'bazproject', 'dialog', 'versioning', 'problems', 'message', 'follow', 'resources', 'versioned', 'doesnt', 'resources', 'versioned']"
40,196.0,,"['catch', 'outgo', 'folder', 'deletion']","['follow', 'structure', 'jfinalsmoke', 'abctxt', 'replace', 'stream', 'project', 'cancel', 'replace', 'middle', 'delete', 'project', 'teamsynchronize', 'stream', 'catchuprelease', 'select', 'catchup', 'dialog', 'problems', 'synchronization', 'message', 'errors', 'problems', 'create', 'parent', 'problems', 'create', 'parent', 'catchup', 'successful', 'dialog', 'pretty', 'happen', 'cancel', 'resuscitate', 'deletions', 'succeed', 'dialog', 'apparent', 'reason']"
